Occupation,Education_Level,Experience_Required,Training_Required,Workers_Thousands,Growth_Rate_Pct,Annual_Openings_Thousands,Median_Annual_Wage
Accountants and auditors,6,1,1,1579.8,4.6,124.2,81680
Actuaries,6,1,4,33.6,21.8,2.4,125770
Acupuncturists,7,1,1,15.3,6.8,0.9,78140
Adhesive bonding machine operators and tenders,2,1,3,12.2,1,1.3,45210
"Administrative law judges, adjudicators, and hearing officers",8,3,2,17.5,-0.7,0.5,115230
Administrative services managers,6,2,1,271.2,4.6,23.2,108390
"Adult basic education, adult secondary education, and english as a second language instructors",6,1,1,40.9,-13.7,3.9,59950
Advertising and promotions managers,6,2,1,27,-2.2,2.1,126960
Advertising sales agents,2,1,3,103.7,-6.4,9.3,61460
Aerospace engineering and operations technologists and technicians,5,1,1,9.3,8.1,0.9,79830
Aerospace engineers,6,1,1,71.6,6.1,4.5,134830
"Agents and business managers of artists, performers, and athletes",6,2,1,21.4,8.7,2.2,96310
Agricultural engineers,6,1,1,1.7,5.9,0.1,84630
Agricultural equipment operators,1,1,3,65.2,7.7,10.5,42580
Agricultural inspectors,6,1,3,14.7,1.5,2.2,50990
"Agricultural sciences teachers, postsecondary",8,1,1,10.7,4.1,0.8,86350
Agricultural technicians,5,1,3,18.6,4.3,2.9,46790
"Agricultural workers, all other",1,1,2,10.1,2.3,1.5,40390
Air traffic controllers,5,1,4,24.1,1.2,2.2,144580
Aircraft cargo handling supervisors,2,2,1,10.3,5.2,1.1,63940
Aircraft mechanics and service technicians,4,1,1,139.4,4,11.3,78680
Aircraft service attendants,2,1,2,28,5.1,4.3,41540
"Aircraft structure, surfaces, rigging, and systems assemblers",2,1,3,33.6,-14.5,2.8,61680
Airfield operations specialists,2,1,4,16.9,4.2,1.6,56750
"Airline pilots, copilots, and flight engineers",6,2,3,100,3.9,11.7,226600
"Ambulance drivers and attendants, except emergency medical technicians",2,1,3,12.3,-1.3,1.4,34330
Amusement and recreation attendants,1,1,2,392.3,3.4,102.4,30490
Anesthesiologists,8,1,6,45.3,3.2,1.3,239200
Animal breeders,2,1,2,7.9,2.4,1.2,52000
Animal caretakers,2,1,2,392.1,12.1,74.6,33470
Animal control workers,2,1,3,12.2,3.9,1.3,45830
Animal scientists,6,1,1,2.8,5.8,0.2,79120
Animal trainers,2,1,3,47.3,5.1,7.1,38750
Anthropologists and archeologists,7,1,1,8.8,3.7,0.8,64910
"Anthropology and archeology teachers, postsecondary",8,1,1,6.5,2.7,0.5,95770
"Arbitrators, mediators, and conciliators",6,2,3,9.1,4.3,0.3,67710
"Architects, except landscape and naval",6,1,6,123.6,3.9,7.8,96690
Architectural and civil drafters,5,1,1,110.5,4.1,10,64280
Architectural and engineering managers,6,3,1,212.5,3.8,14.5,167740
"Architecture teachers, postsecondary",8,1,1,11.6,2,0.9,101480
Archivists,7,1,1,9.3,3.8,1.1,61570
"Area, ethnic, and cultural studies teachers, postsecondary",8,1,1,14.5,2.4,1.1,84290
Art directors,6,3,1,135,4.2,12.3,111040
"Art, drama, and music teachers, postsecondary",7,1,1,122.8,1.7,9,80190
"Artists and related workers, all other",1,1,4,13.9,0.8,1.2,72760
Astronomers,8,1,1,1.8,2.2,0.1,132170
Athletes and sports competitors,1,1,4,19.1,5.5,2.1,62360
Athletic trainers,7,1,1,33.9,11.1,2.4,60250
Atmospheric and space scientists,6,1,1,9.4,0.7,0.7,97450
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",8,1,1,14,2.6,1,101390
Audio and video technicians,4,1,2,92.3,3.3,7.3,54830
Audiologists,8,1,1,15.8,9.5,0.7,92120
Audiovisual equipment installers and repairers,4,1,2,24.6,6.6,2.6,50620
Automotive and watercraft service attendants,1,1,2,100,-1,14.4,34850
Automotive body and related repairers,2,1,4,172.6,1.6,14.6,51680
Automotive glass installers and repairers,2,1,3,20.4,3.6,1.4,47260
Automotive service technicians and mechanics,4,1,2,805.6,4.2,70,49670
Avionics technicians,4,1,1,21.4,8.2,1.8,81390
Baggage porters and bellhops,2,1,2,32.5,-1.6,4.6,36020
Bailiffs,2,1,3,19,-2.2,1.8,57050
Bakers,1,1,3,249.1,5.6,39.9,36650
Barbers,4,1,1,76,4.1,8.4,38960
Bartenders,1,1,2,756.7,5.9,129.6,33530
Bicycle repairers,2,1,3,13.2,-2.3,1.6,40360
Bill and account collectors,2,1,3,166.9,-10.5,13.7,46040
Billing and posting clerks,2,1,3,429.8,-0.4,42.2,47170
Biochemists and biophysicists,8,1,1,35.6,5.8,2.9,103650
Bioengineers and biomedical engineers,6,1,1,22.2,5.2,1.3,106950
"Biological science teachers, postsecondary",8,1,1,66,7.3,5.4,83460
"Biological scientists, all other",6,1,1,63.7,1.2,4.8,93330
Biological technicians,6,1,1,82.7,3.5,9.1,52000
Boilermakers,2,1,5,10.4,-2.4,0.8,73340
"Bookkeeping, accounting, and auditing clerks",3,1,3,1613.4,-5.8,170,49210
Brickmasons and blockmasons,2,1,5,74.1,3.2,5.6,60800
Bridge and lock tenders,2,1,2,2.9,-3.3,0.3,58490
Broadcast announcers and radio disc jockeys,6,1,1,24.1,-5.5,2.3,45680
Broadcast technicians,5,1,2,24.8,-2.8,1.8,53920
Brokerage clerks,2,1,3,40.8,-9.5,4.1,62940
Budget analysts,6,1,1,50.4,1,3.1,87930
"Building cleaning workers, all other",1,1,2,18.1,2.5,2.6,42360
Bus and truck mechanics and diesel engine specialists,2,1,4,319.9,2.4,26.5,60640
"Bus drivers, school",2,1,2,387.3,0.2,61,47040
"Bus drivers, transit and intercity",2,1,3,158.8,4.3,20.9,57440
"Business operations specialists, all other",6,1,1,1205.7,3,108.2,81270
"Business teachers, postsecondary",8,1,1,103.1,5.7,8.1,97270
Butchers and meat cutters,1,1,4,143.1,1,16.9,38960
Buyers and purchasing agents,6,1,3,522.2,5.8,52.2,75650
Cabinetmakers and bench carpenters,2,1,3,86,-1.6,8.1,46020
Calibration technologists and technicians,5,1,1,15.8,4.7,1.4,65040
Camera and photographic equipment repairers,2,1,4,2.3,-15.1,0.2,49300
"Camera operators, television, video, and film",6,1,1,36.4,1.2,2.9,68810
"Captains, mates, and pilots of water vessels",4,2,1,40.7,0.5,4.3,85540
Cardiologists,8,1,6,19.4,4.1,0.6,239200
Cardiovascular technologists and technicians,5,1,1,64.7,3,3.8,67260
"Career/technical education teachers, middle school",6,2,1,14,-2,0.9,63620
"Career/technical education teachers, postsecondary",6,2,1,122.2,0.7,8.8,61490
"Career/technical education teachers, secondary school",6,2,1,103.4,-1.8,6.2,63910
Cargo and freight agents,2,1,2,100.6,8.5,8.8,49900
Carpenters,2,1,5,959,4.5,74.1,59310
Carpet installers,1,1,2,20.3,-9.6,1.1,49850
Cartographers and photogrammetrists,6,1,1,13.4,6.4,1,78380
Cashiers,1,1,2,3157.2,-9.9,542.6,31190
Cement masons and concrete finishers,1,1,3,206.7,1.8,14.3,54660
Chefs and head cooks,2,3,1,197.3,7.1,24.4,60990
Chemical engineers,6,1,1,21.6,2.6,1.1,121860
Chemical equipment operators and tenders,2,1,3,128.9,3.3,14.4,57090
Chemical plant and system operators,2,1,3,18.1,-6.1,1.6,73540
Chemical technicians,5,1,3,57,3.7,6.7,57790
"Chemistry teachers, postsecondary",8,1,1,25.4,2.2,1.9,86220
Chemists,6,1,1,86.8,4.9,6.3,84150
Chief executives,6,3,1,309.4,4.3,22.2,206420
"Child, family, and school social workers",6,1,1,399.9,3.4,35.1,58570
Childcare workers,2,1,2,991.6,-2.9,160.2,32050
Chiropractors,8,1,1,57.2,9.5,2.8,79000
Choreographers,2,3,4,4.6,6.1,0.7,55600
Civil engineering technologists and technicians,5,1,1,64.9,2.1,5.5,64200
Civil engineers,6,1,1,368.9,5,23.6,99590
"Claims adjusters, examiners, and investigators",2,1,4,356.1,-5.1,21.1,76790
Cleaners of vehicles and equipment,1,1,2,410.1,3.9,56.2,35270
"Cleaning, washing, and metal pickling equipment operators and tenders",2,1,3,14.6,3.6,1.6,41460
Clergy,6,1,3,262,1,23,60820
Clinical and counseling psychologists,8,1,6,76.3,11.2,4.8,95830
Clinical laboratory technologists and technicians,6,1,1,351.2,1.7,22.6,61890
Coaches and scouts,6,1,1,306.5,6.4,41.8,45920
"Coating, painting, and spraying machine setters, operators, and tenders",2,1,3,165.5,0.7,15.8,47590
"Coil winders, tapers, and finishers",2,1,3,12.2,-6.3,1.2,47260
"Coin, vending, and amusement machine servicers and repairers",2,1,2,32.5,-2.9,3.5,47350
Commercial and industrial designers,6,1,1,30.6,3.2,2.5,79450
Commercial divers,4,1,3,4.2,8.5,0.4,61130
Commercial pilots,4,1,3,55.4,5.1,6.6,122670
"Communications equipment operators, all other",2,1,2,1.4,2.5,0.1,49910
"Communications teachers, postsecondary",8,1,1,35.8,2.1,2.7,77800
"Community and social service specialists, all other",6,1,1,119.2,4.6,13.1,54940
Community health workers,2,1,2,65.1,11.3,7.8,51030
Compensation and benefits managers,6,3,1,20.9,0.2,1.5,140360
"Compensation, benefits, and job analysis specialists",6,2,1,107,5.3,8.5,77020
Compliance officers,6,1,3,418,3,33.3,78420
Computer and information research scientists,7,1,1,40.3,19.7,3.2,140910
Computer and information systems managers,6,3,1,667.1,15.2,55.6,171200
Computer hardware engineers,6,1,1,76.8,7.3,4.7,155020
Computer network architects,6,3,1,179.2,11.9,11.2,130390
Computer network support specialists,5,1,3,152.7,1.8,9.6,73340
Computer numerically controlled tool operators,2,1,3,177.1,-10.7,13.5,49970
Computer numerically controlled tool programmers,4,1,3,28.3,12.8,3.1,65670
"Computer occupations, all other",6,1,1,472,8.2,31.3,108970
Computer programmers,6,1,1,121.2,-6,5.5,98670
"Computer science teachers, postsecondary",8,1,1,44.8,5.3,3.5,96690
Computer systems analysts,6,1,1,521.1,8.7,34.2,103790
Computer user support specialists,3,1,3,729.5,-3.7,40.8,60340
"Computer, automated teller, and office machine repairers",3,1,2,79.1,-0.9,7.6,46860
Concierges,2,1,3,45.6,2.3,6.8,37320
Conservation scientists,6,1,1,28.5,3.4,2.5,67950
Construction and building inspectors,2,3,3,147.6,-0.8,14.8,72120
Construction laborers,1,1,2,1457,7.3,129.4,46730
